iter	F1	Logloss
0	0.8393048074	0.6547681953
1	0.8390760205	0.6232637462
2	0.839131723	0.5974867839
3	0.8404679941	0.5755298364
4	0.8405528155	0.5575048321
5	0.8450870668	0.5411693856
6	0.8464538844	0.5267798476
7	0.8467578303	0.5175059246
8	0.845411599	0.5121859161
9	0.8460871746	0.5029442687
10	0.8480870372	0.4927981435
11	0.8479297111	0.4850821139
12	0.8494191305	0.4803260002
13	0.8471034138	0.4757023142
14	0.8483476404	0.4723185096
15	0.8503003876	0.4682439436
16	0.8495619731	0.4661028555
17	0.8498971568	0.4649838437
18	0.8507568803	0.460991602
19	0.8508443402	0.4583685075
20	0.8501774554	0.4558294819
21	0.8509145859	0.4534318253
22	0.8516343435	0.4520105303
23	0.8515455804	0.4487038981
24	0.8513531465	0.4474422088
25	0.852879055	0.4442951278
26	0.8530198469	0.4427828126
27	0.8531959023	0.4414392079
28	0.8536187317	0.4394635318
29	0.853759768	0.4388054547
30	0.8539714098	0.4363812744
31	0.8538150875	0.435444821
32	0.8542537622	0.4330752691
33	0.8541125627	0.4329288844
34	0.8538655758	0.4328716935
35	0.8538655758	0.4321734901
36	0.8541478582	0.4309682557
37	0.8549395883	0.4298845452
38	0.8549604607	0.4294059189
39	0.8552788567	0.4285793495
40	0.8563335906	0.4280706012
41	0.8568653658	0.4253167144
42	0.8568744003	0.4243322021
43	0.8570165145	0.4232774414
44	0.8575043683	0.4221421828
45	0.8575754275	0.4220547063
46	0.8575626538	0.4214613439
47	0.8578597818	0.4200700073
48	0.8576337708	0.4199956428
49	0.8579664633	0.419950528
50	0.8581675251	0.4190045064
51	0.8591651753	0.4186279132
52	0.8597823878	0.4182971437
53	0.859485839	0.4177505316
54	0.859485839	0.4177429534
55	0.859485839	0.4177362475
56	0.8593076629	0.4176417653
57	0.8595927801	0.4173118953
58	0.859628433	0.4172917504
59	0.859628433	0.416898229
60	0.8596640889	0.4166008799
61	0.8597354096	0.4165787995
62	0.8596640889	0.4165748468
63	0.859628433	0.4165713303
64	0.8596640889	0.4165561739
