iter	Passed	Remaining
0	40	40038
1	87	43518
2	137	45793
3	191	47744
4	216	43124
5	263	43733
6	315	44720
7	364	45191
8	410	45254
9	443	43932
10	488	43938
11	537	44246
12	586	44498
13	633	44594
14	659	43303
15	705	43411
16	756	43733
17	789	43078
18	817	42202
19	850	41668
20	876	40869
21	925	41125
22	973	41362
23	1021	41541
24	1048	40877
25	1126	42215
26	1161	41874
27	1219	42343
28	1269	42496
29	1317	42596
30	1364	42661
31	1413	42749
32	1447	42405
33	1476	41956
34	1508	41593
35	1529	40961
36	1551	40388
37	1601	40536
38	1646	40564
39	1691	40589
40	1738	40653
41	1783	40686
42	1810	40300
43	1855	40322
44	1877	39836
45	1908	39570
46	1958	39713
47	1989	39455
48	2034	39485
49	2060	39145
50	2107	39221
51	2135	38924
52	2166	38711
53	2198	38507
54	2222	38188
55	2269	38263
56	2291	37908
57	2316	37627
58	2344	37385
59	2398	37584
60	2447	37673
61	2468	37345
62	2517	37442
63	2540	37149
64	2562	36867
65	2603	36840
66	2626	36577
67	2675	36667
68	2722	36729
69	2742	36440
70	2766	36191
71	2794	36013
72	2823	35860
73	2849	35652
74	2873	35445
75	2922	35527
76	2956	35440
77	2992	35374
78	3014	35145
79	3040	34969
80	3086	35018
81	3113	34855
82	3137	34666
83	3161	34474
84	3181	34242
85	3214	34166
86	3239	33993
87	3261	33797
88	3308	33860
89	3372	34100
90	3421	34173
91	3472	34268
92	3492	34063
93	3518	33915
94	3564	33955
95	3586	33776
96	3632	33819
97	3667	33759
98	3719	33851
99	3745	33713
100	3771	33569
101	3825	33675
102	3875	33746
103	3924	33812
104	3974	33873
105	3999	33730
106	4045	33765
107	4094	33821
108	4143	33871
109	4168	33722
110	4196	33612
111	4225	33501
112	4250	33364
113	4298	33408
114	4326	33292
115	4352	33166
116	4399	33203
