iter	Logloss
0	0.6660705078
1	0.6405986328
2	0.6186124512
3	0.5973797852
4	0.5778574219
5	0.5592442871
6	0.5423277344
7	0.5268787109
8	0.5116594727
9	0.4996598633
10	0.4871063477
11	0.4751838379
12	0.4644121094
13	0.4539977051
14	0.4448311523
15	0.4361606934
16	0.4280962402
17	0.4203210937
18	0.4129068359
19	0.4069856445
20	0.4011536133
21	0.3957491943
22	0.3909907471
23	0.3864322998
24	0.3831401123
25	0.3794788818
26	0.3754716309
27	0.3713246582
28	0.367845752
29	0.3650223389
30	0.3623640137
31	0.3592806641
32	0.3564491943
33	0.3538985596
34	0.3517414062
35	0.3494186279
36	0.3476511719
37	0.3455735352
38	0.3441836426
39	0.3422689941
40	0.3410236328
41	0.339405957
42	0.3378507324
43	0.3364986572
44	0.3354045898
45	0.3339992187
46	0.3329984131
47	0.332082666
48	0.331311792
49	0.3302991211
50	0.329526709
51	0.3286230225
52	0.3278071533
53	0.3271289551
54	0.3263000488
55	0.3256239746
56	0.3247863037
57	0.3242015625
58	0.3236545898
59	0.3230815674
60	0.3226840088
61	0.322285498
62	0.3216828369
63	0.3212561523
64	0.3209658691
65	0.3205234375
66	0.3201875244
67	0.3197818115
68	0.3193973633
69	0.3191531982
70	0.3188439941
71	0.318644043
72	0.3182869141
73	0.3179763184
74	0.3178084473
75	0.3175682129
76	0.3174091064
77	0.3171881348
78	0.3169887207
79	0.3166783936
80	0.3164484131
81	0.3162802734
82	0.3160856201
83	0.315978125
84	0.3158106934
85	0.3156519775
86	0.3154789795
87	0.3153611572
88	0.3151624268
89	0.3149750977
90	0.3148171387
91	0.3147147949
92	0.3145429687
93	0.3143689941
94	0.314280127
95	0.3141568604
96	0.3140446045
97	0.3139673096
98	0.313819043
99	0.3137335449
100	0.3135952148
101	0.3135011719
102	0.3133616455
103	0.3131854004
104	0.3130870117
105	0.3130067871
106	0.3129592041
107	0.3128713867
108	0.3127677246
109	0.3126919678
110	0.312581958
111	0.3125097656
112	0.3124200195
113	0.3123322266
114	0.3122619873
115	0.312180127
116	0.3120681152
117	0.3119838867
118	0.3118984375
119	0.3117956055
120	0.3117384766
121	0.3116907227
122	0.3116498047
123	0.311617041
124	0.3115562988
125	0.3114946777
126	0.311402832
127	0.3113015381
128	0.3112471191
129	0.3111920654
130	0.3111067871
131	0.3110796631
132	0.3110441895
133	0.3109873291
134	0.3109271973
135	0.3109069824
136	0.3108251465
137	0.3107415283
138	0.31068396
139	0.3106295898
140	0.3105639404
141	0.3104504883
142	0.310360498
143	0.3102852539
144	0.3102278809
145	0.3101746094
146	0.3101171875
147	0.3100808594
148	0.3100261719
149	0.3099774902
150	0.3099275391
151	0.3098859863
152	0.3098273437
153	0.3097618652
154	0.3097328369
155	0.3096885742
156	0.3096332031
157	0.3095929443
158	0.3095643066
159	0.3095249756
160	0.3094695312
161	0.3094188965
162	0.3093633301
163	0.3092895508
164	0.3092537109
165	0.3092021973
166	0.3091743164
167	0.3091497314
168	0.3090940918
169	0.3090620605
170	0.3090378418
171	0.3090020264
172	0.3089663574
173	0.3089371094
174	0.3088914063
175	0.3088559082
176	0.3088279541
177	0.3088077393
178	0.3087941406
179	0.3087783447
180	0.3087398438
181	0.3086677979
182	0.3086462646
183	0.308609668
184	0.3085770508
185	0.3085349854
186	0.3084838867
187	0.3084570068
188	0.308426709
189	0.308386377
190	0.3083626221
191	0.3083356201
192	0.3083002441
193	0.3082881836
194	0.3082658203
195	0.3082422852
196	0.3081919922
197	0.308161377
198	0.30813125
199	0.3081134766
200	0.3080606934
201	0.3080257813
202	0.3079979492
203	0.3079642578
204	0.3079490234
205	0.3079320313
206	0.3079134033
207	0.3078943359
208	0.307878125
209	0.3078198242
210	0.3078119141
211	0.3077696045
212	0.307717627
213	0.3077104736
214	0.3076583252
215	0.3076210693
216	0.3075897217
217	0.3075866211
218	0.3075567627
219	0.3075318848
220	0.3075056152
221	0.3074875
222	0.3074825195
223	0.3074458984
224	0.3073871582
225	0.3073636719
226	0.307343042
227	0.3073162598
228	0.3072823242
229	0.3072667236
230	0.3072379395
231	0.307181665
232	0.3071456299
233	0.307126001
234	0.3070859863
235	0.30707146
236	0.3070279541
237	0.3070235352
238	0.3069932129
239	0.3069726562
240	0.3069558594
241	0.3069174561
242	0.3069039795
243	0.3068682129
244	0.3068148438
245	0.3067924072
246	0.3067572021
247	0.3067008789
248	0.3066831787
249	0.3066612061
250	0.3066476563
251	0.3066281494
252	0.3065860596
253	0.3065627197
254	0.3065285156
255	0.3065094238
256	0.3064890137
257	0.3064679687
258	0.3064160645
259	0.3064020508
260	0.306379126
261	0.3063452637
262	0.3063341797
263	0.3063136963
264	0.3062819824
265	0.3062570312
266	0.3062450439
267	0.3062180664
268	0.3062000977
269	0.3061884277
270	0.3061714355
271	0.306140625
272	0.3061003418
273	0.3060887695
274	0.3060582031
275	0.3060139648
276	0.3059641602
277	0.3059020752
278	0.3058910645
279	0.3058055176
280	0.3057710938
281	0.3057374512
282	0.3056863281
283	0.3056584961
284	0.3056358887
285	0.3056151367
286	0.3056015137
287	0.3055606934
288	0.3055282227
289	0.3054891357
290	0.3054449463
291	0.3054245117
292	0.3053987061
